Varanasi,2016,Insult to the modesty of women,0,0
Varanasi,2016,Sexual harassment and molestation of women,3,0
Vijayawada,2016,Assault on women with intent to outrage her modesty,172,23.2
Vijayawada,2016,Insult to the modesty of women,219,29.6
Vijayawada,2016,Sexual harassment and molestation of women,391,0
Vishakhapatnam,2016,Assault on women with intent to outrage her modesty,59,6.9
Vishakhapatnam,2016,Insult to the modesty of women,52,6.1
Vishakhapatnam,2016,Sexual harassment and molestation of women,111,0
Agra,2017,Assault on women with intent to outrage her modesty,190,23.6
Agra,2017,Insult to the modesty of women,0,0
Agra,2017,Sexual harassment and molestation of women,190,0
Ahmedabad,2017,Assault on women with intent to outrage her modesty,83,2.8
Ahmedabad,2017,Insult to the modesty of women,16,0.5
Ahmedabad,2017,Sexual harassment and molestation of women,99,0
Allahabad,2017,Assault on women with intent to outrage her modesty,11,2
Allahabad,2017,Insult to the modesty of women,1,0.2
Allahabad,2017,Sexual harassment and molestation of women,12,0
Amritsar,2017,Assault on women with intent to outrage her modesty,7,1.3
Amritsar,2017,Insult to the modesty of women,1,0.2
Amritsar,2017,Sexual harassment and molestation of women,8,0
Asansol,2017,Assault on women with intent to outrage her modesty,30,5
Asansol,2017,Insult to the modesty of women,7,1.2
Asansol,2017,Sexual harassment and molestation of women,37,0
Aurangabad,2017,Assault on women with intent to outrage her modesty,65,11.4
Aurangabad,2017,Insult to the modesty of women,29,5.1
Aurangabad,2017,Sexual harassment and molestation of women,94,0
Bengaluru,2017,Assault on women with intent to outrage her modesty,250,6.2
Bengaluru,2017,Insult to the modesty of women,40,1
Bengaluru,2017,Sexual harassment and molestation of women,290,0
Bhopal,2017,Assault on women with intent to outrage her modesty,93,10.4
Bhopal,2017,Insult to the modesty of women,16,1.8
Bhopal,2017,Sexual harassment and molestation of women,109,0
Chandigarh,2017,Assault on women with intent to outrage her modesty,16,3.5
Chandigarh,2017,Insult to the modesty of women,11,2.4
Chandigarh,2017,Sexual harassment and molestation of women,27,0
Chennai,2017,Assault on women with intent to outrage her modesty,73,1.7
Chennai,2017,Insult to the modesty of women,121,2.8
Chennai,2017,Sexual harassment and molestation of women,194,0
Coimbatore,2017,Assault on women with intent to outrage her modesty,32,3
Coimbatore,2017,Insult to the modesty of women,5,0.5
Coimbatore,2017,Sexual harassment and molestation of women,37,0
Delhi,2017,Assault on women with intent to outrage her modesty,556,7.3
Delhi,2017,Insult to the modesty of women,149,2
Delhi,2017,Sexual harassment and molestation of women,705,0
Dhanbad,2017,Assault on women with intent to outrage her modesty,9,1.6
Dhanbad,2017,Insult to the modesty of women,0,0
Dhanbad,2017,Sexual harassment and molestation of women,9,0
Durg-Bhilainagar,2017,Assault on women with intent to outrage her modesty,147,28.4
Durg-Bhilainagar,2017,Insult to the modesty of women,35,6.8
Durg-Bhilainagar,2017,Sexual harassment and molestation of women,182,0
Faridabad,2017,Assault on women with intent to outrage her modesty,31,4.7
Faridabad,2017,Insult to the modesty of women,59,9
Faridabad,2017,Sexual harassment and molestation of women,90,0
Ghaziabad,2017,Assault on women with intent to outrage her modesty,35,3.2
Ghaziabad,2017,Insult to the modesty of women,47,4.3
Ghaziabad,2017,Sexual harassment and molestation of women,82,0
Gwalior,2017,Assault on women with intent to outrage her modesty,97,18.9
Gwalior,2017,Insult to the modesty of women,13,2.5
Gwalior,2017,Sexual harassment and molestation of women,110,0
Hyderabad,2017,Assault on women with intent to outrage her modesty,157,4.2
Hyderabad,2017,Insult to the modesty of women,93,2.5
Hyderabad,2017,Sexual harassment and molestation of women,250,0
India,2017,Assault on women with intent to outrage her modesty,42968,7.3
India,2017,Insult to the modesty of women,8570,1.5
India,2017,Sexual harassment and molestation of women,51538,0
Indore,2017,Assault on women with intent to outrage her modesty,229,22.1
Indore,2017,Insult to the modesty of women,49,4.7
Indore,2017,Sexual harassment and molestation of women,278,0
Jabalpur,2017,Assault on women with intent to outrage her modesty,171,28.3
Jabalpur,2017,Insult to the modesty of women,27,4.5
Jabalpur,2017,Sexual harassment and molestation of women,198,0
Jaipur,2017,Assault on women with intent to outrage her modesty,125,8.6
Jaipur,2017,Insult to the modesty of women,0,0
Jaipur,2017,Sexual harassment and molestation of women,125,0
Jamshedpur,2017,Assault on women with intent to outrage her modesty,18,2.8
Jamshedpur,2017,Insult to the modesty of women,0,0
Jamshedpur,2017,Sexual harassment and molestation of women,18,0
Jodhpur,2017,Assault on women with intent to outrage her modesty,57,10.6
Jodhpur,2017,Insult to the modesty of women,1,0.2
Jodhpur,2017,Sexual harassment and molestation of women,58,0
Kannur,2017,Assault on women with intent to outrage her modesty,43,4.9
Kannur,2017,Insult to the modesty of women,8,0.9
Kannur,2017,Sexual harassment and molestation of women,51,0
Kanpur,2017,Assault on women with intent to outrage her modesty,140,10.5
Kanpur,2017,Insult to the modesty of women,2,0.1
Kanpur,2017,Sexual harassment and molestation of women,142,0
Kochi,2017,Assault on women with intent to outrage her modesty,105,9.8
Kochi,2017,Insult to the modesty of women,32,3
Kochi,2017,Sexual harassment and molestation of women,137,0
Kolkata,2017,Assault on women with intent to outrage her modesty,254,3.7
Kolkata,2017,Insult to the modesty of women,144,2.1
Kolkata,2017,Sexual harassment and molestation of women,398,0
Kollam,2017,Assault on women with intent to outrage her modesty,192,33.1
Kollam,2017,Insult to the modesty of women,19,3.3
Kollam,2017,Sexual harassment and molestation of women,211,0
Kota,2017,Assault on women with intent to outrage her modesty,58,12.3
Kota,2017,Insult to the modesty of women,0,0
Kota,2017,Sexual harassment and molestation of women,58,0
Kozhikode,2017,Assault on women with intent to outrage her modesty,124,11.6
Kozhikode,2017,Insult to the modesty of women,100,9.4
Kozhikode,2017,Sexual harassment and molestation of women,224,0
Lucknow,2017,Assault on women with intent to outrage her modesty,104,7.5
Lucknow,2017,Insult to the modesty of women,0,0
Lucknow,2017,Sexual harassment and molestation of women,104,0
Ludhiana,2017,Assault on women with intent to outrage her modesty,22,3
Ludhiana,2017,Insult to the modesty of women,10,1.4
Ludhiana,2017,Sexual harassment and molestation of women,32,0
Madurai,2017,Assault on women with intent to outrage her modesty,22,3
Madurai,2017,Insult to the modesty of women,4,0.5
Madurai,2017,Sexual harassment and molestation of women,26,0
Malappuram,2017,Assault on women with intent to outrage her modesty,37,4.2
Malappuram,2017,Insult to the modesty of women,2,0.2
Malappuram,2017,Sexual harassment and molestation of women,39,0
Meerut,2017,Assault on women with intent to outrage her modesty,47,7
Meerut,2017,Insult to the modesty of women,0,0
Meerut,2017,Sexual harassment and molestation of women,47,0
Mumbai,2017,Assault on women with intent to outrage her modesty,553,6.5
Mumbai,2017,Insult to the modesty of women,162,1.9
Mumbai,2017,Sexual harassment and molestation of women,715,0
Nagpur,2017,Assault on women with intent to outrage her modesty,68,5.6
Nagpur,2017,Insult to the modesty of women,53,4.3
Nagpur,2017,Sexual harassment and molestation of women,121,0
Nasik,2017,Assault on women with intent to outrage her modesty,37,5
Nasik,2017,Insult to the modesty of women,10,1.4
Nasik,2017,Sexual harassment and molestation of women,47,0
Patna,2017,Assault on women with intent to outrage her modesty,1,0.1
Patna,2017,Insult to the modesty of women,1,0.1
Patna,2017,Sexual harassment and molestation of women,2,0
Pune,2017,Assault on women with intent to outrage her modesty,118,4.9
Pune,2017,Insult to the modesty of women,80,3.3
Pune,2017,Sexual harassment and molestation of women,198,0
Raipur,2017,Assault on women with intent to outrage her modesty,195,35.8
Raipur,2017,Insult to the modesty of women,27,5
Raipur,2017,Sexual harassment and molestation of women,222,0
Rajkot,2017,Assault on women with intent to outrage her modesty,17,2.6
Rajkot,2017,Insult to the modesty of women,3,0.5
Rajkot,2017,Sexual harassment and molestation of women,20,0
Ranchi,2017,Assault on women with intent to outrage her modesty,5,0.9
Ranchi,2017,Insult to the modesty of women,0,0
Ranchi,2017,Sexual harassment and molestation of women,5,0
Srinagar,2017,Assault on women with intent to outrage her modesty,171,28.7
Srinagar,2017,Insult to the modesty of women,70,11.7
Srinagar,2017,Sexual harassment and molestation of women,241,0
Surat,2017,Assault on women with intent to outrage her modesty,34,1.7
Surat,2017,Insult to the modesty of women,3,0.2
Surat,2017,Sexual harassment and molestation of women,37,0
Thiruvananthapuram,2017,Assault on women with intent to outrage her modesty,241,27.6
Thiruvananthapuram,2017,Insult to the modesty of women,46,5.3
Thiruvananthapuram,2017,Sexual harassment and molestation of women,287,0
Thrissur,2017,Assault on women with intent to outrage her modesty,100,10.2
Thrissur,2017,Insult to the modesty of women,28,2.9
Thrissur,2017,Sexual harassment and molestation of women,128,0
Tiruchirappalli,2017,Assault on women with intent to outrage her modesty,17,3.3
Tiruchirappalli,2017,Insult to the modesty of women,26,5.1
Tiruchirappalli,2017,Sexual harassment and molestation of women,43,0
Vadodara,2017,Assault on women with intent to outrage her modesty,15,1.7
Vadodara,2017,Insult to the modesty of women,2,0.2
Vadodara,2017,Sexual harassment and molestation of women,17,0
Varanasi,2017,Assault on women with intent to outrage her modesty,1,0.1
Varanasi,2017,Insult to the modesty of women,0,0
Varanasi,2017,Sexual harassment and molestation of women,1,0
Vasai-Virar,2017,Assault on women with intent to outrage her modesty,19,3.3
Vasai-Virar,2017,Insult to the modesty of women,10,1.7
Vasai-Virar,2017,Sexual harassment and molestation of women,29,0
Vijayawada,2017,Assault on women with intent to outrage her modesty,248,33.5
Vijayawada,2017,Insult to the modesty of women,355,47.9
Vijayawada,2017,Sexual harassment and molestation of women,603,0
Vishakhapatnam,2017,Assault on women with intent to outrage her modesty,31,3.6
Vishakhapatnam,2017,Insult to the modesty of women,50,5.9
Vishakhapatnam,2017,Sexual harassment and molestation of women,81,0
Agra,2018,Assault on women with intent to outrage her modesty,61,7.6
Agra,2018,Insult to the modesty of women,43,5.3
Agra,2018,Sexual harassment and molestation of women,104,0
Ahmedabad,2018,Assault on women with intent to outrage her modesty,79,2.6
Ahmedabad,2018,Insult to the modesty of women,7,0.2
Ahmedabad,2018,Sexual harassment and molestation of women,86,0
Allahabad,2018,Assault on women with intent to outrage her modesty,17,3
Allahabad,2018,Insult to the modesty of women,0,0
Allahabad,2018,Sexual harassment and molestation of women,17,0
Amritsar,2018,Assault on women with intent to outrage her modesty,14,2.5
Amritsar,2018,Insult to the modesty of women,0,0
Amritsar,2018,Sexual harassment and molestation of women,14,0
Asansol,2018,Assault on women with intent to outrage her modesty,31,5.2
Asansol,2018,Insult to the modesty of women,4,0.7
Asansol,2018,Sexual harassment and molestation of women,35,0
Aurangabad,2018,Assault on women with intent to outrage her modesty,79,13.9
Aurangabad,2018,Insult to the modesty of women,28,4.9
Aurangabad,2018,Sexual harassment and molestation of women,107,0
